Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1e-08
Horizontal Delay,0.000945365
Sample Interval,2e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-3.54
,
,
,
Label,
TIME,CH4
9.445541e-04,0.03
9.445543e-04,0.03
9.445545e-04,-0.01
9.445547e-04,0.03
9.445549e-04,0.03
9.445551e-04,0.01
9.445553e-04,0.01
9.445555e-04,0.03
9.445557e-04,0.01
9.445559e-04,-0.01
9.445561e-04,0.01
9.445563e-04,0.01
9.445565e-04,0.01
9.445567e-04,0.01
9.445569e-04,0.01
9.445571e-04,-0.01
9.445573e-04,0.01
9.445575e-04,-0.01
9.445577e-04,0.01
9.445579e-04,0.01
9.445581e-04,-0.01
9.445583e-04,0.01
9.445585e-04,0.03
9.445587e-04,0.03
9.445589e-04,0.01
9.445591e-04,0.03
9.445593e-04,0.01
9.445595e-04,0.03
9.445597e-04,0.01
9.445599e-04,0.01
9.445601e-04,-0.01
9.445603e-04,0.01
9.445605e-04,0.03
9.445607e-04,0.01
9.445609e-04,0.03
9.445611e-04,0.01
9.445613e-04,0.01
9.445615e-04,0.01
9.445617e-04,0.01
9.445619e-04,0.01
9.445621e-04,0.01
9.445623e-04,0.01
9.445625e-04,0.01
9.445627e-04,0.01
9.445629e-04,0.01
9.445631e-04,0.03
9.445633e-04,0.01
9.445635e-04,0.01
9.445637e-04,0.03
9.445639e-04,0.01
9.445641e-04,0.01
9.445643e-04,0.01
9.445645e-04,0.01
9.445647e-04,0.01
9.445649e-04,0.01
9.445651e-04,0.01
9.445653e-04,0.01
9.445655e-04,0.01
9.445657e-04,0.01
9.445659e-04,0.01
9.445661e-04,-0.01
9.445663e-04,0.01
9.445665e-04,0.03
9.445667e-04,0.01
9.445669e-04,0.03
9.445671e-04,0.01
9.445673e-04,0.03
9.445675e-04,0.03
9.445677e-04,0.01
9.445679e-04,0.03
9.445681e-04,0.03
9.445683e-04,0.01
9.445685e-04,0.01
9.445687e-04,0.01
9.445689e-04,-0.03
9.445691e-04,-0.01
9.445693e-04,-0.01
9.445695e-04,0.01
9.445697e-04,0.03
9.445699e-04,0.01
9.445701e-04,0.01
9.445703e-04,0.01
9.445705e-04,0.01
9.445707e-04,0.03
9.445709e-04,0.01
9.445711e-04,0.03
9.445713e-04,0.01
9.445715e-04,0.01
9.445717e-04,0.03
9.445719e-04,0.01
9.445721e-04,-0.01
9.445723e-04,-0.01
9.445725e-04,0.03
9.445727e-04,0.01
9.445729e-04,0.01
9.445731e-04,0.03
9.445733e-04,0.03
9.445735e-04,0.03
9.445737e-04,0.03
9.445739e-04,0.01
9.445741e-04,0.03
9.445743e-04,0.05
9.445745e-04,0.01
9.445747e-04,0.03
9.445749e-04,-0.01
9.445751e-04,0.01
9.445753e-04,0.03
9.445755e-04,0.01
9.445757e-04,0.01
9.445759e-04,0.01
9.445761e-04,0.01
9.445763e-04,0.01
9.445765e-04,0.01
9.445767e-04,0.03
9.445769e-04,0.01
